Personaje 1,Personaje 2,Interacciones
Ariel,Ursula,3
Flotsam,Ursula,2
Jetsam,Ursula,3
Ursula,Rey Triton,1
Ursula,Sora,4
Ursula,Goofy,3
Ursula,Donald,3
Ursula,Sebastian,2
Rey Triton,Flotsam,1
Rey Triton,Jetsam,1
Flotsam,Sora,1
Flotsam,Goofy,1
Flotsam,Donald,1
Flotsam,Sebastian,1
Jetsam,Sora,2
Jetsam,Goofy,1
Jetsam,Donald,1
Jetsam,Sebastian,1
Ursula,Floatsam,1
Floatsam,Jetsam,1
Floatsam,Sora,1
El Alcalde,Jack,2
Jack,Doctor Finklestein,2
Jack,Sora,8
Jack,Goofy,7
Jack,Donald,7
Sora,Doctor Finklestein,2
Doctor Finklestein,Goofy,2
Doctor Finklestein,Donald,2
El Alcalde,Sora,1
El Alcalde,Goofy,1
El Alcalde,Donald,1
Zero,Jack,2
Zero,Sally,1
Zero,Sora,2
Zero,Goofy,1
Zero,Donald,1
Jack,Sally,2
Sally,Sora,1
Sally,Goofy,1
Sally,Donald,1
Lock,Shock,5
Lock,Barrel,5
Shock,Barrel,5
Oogie Boogie,Lock,1
Oogie Boogie,Shock,1
Oogie Boogie,Barrel,1
Sora,Lock,1
Sora,Shock,1
Sora,Barrel,1
Goofy,Lock,1
Goofy,Shock,1
Goofy,Barrel,1
Donald,Lock,1
Donald,Shock,1
Donald,Barrel,1
Doctor Finklestein,Lock,1
Doctor Finklestein,Shock,1
Doctor Finklestein,Barrel,1
Zero,Lock,1
Zero,Shock,1
Zero,Barrel,1
Oogie Boogie,Jack,2
Oogie Boogie,Sora,2
Oogie Boogie,Goofy,2
Oogie Boogie,Donald,2
Sora,Capitan Garfio,2
Sora,Smee,2
Riku,Smee,1
Kairi,Capitan Garfio,1
Kairi,Smee,1
Capitan Garfio,Smee,2
Sora,Peter Pan,9
Sora,Campanilla,7
Goofy,Peter Pan,7
Goofy,Campanilla,6
Donald,Peter Pan,7
Donald,Campanilla,6
Peter Pan,Campanilla,7
Sora,Wendy,4
Goofy,Wendy,3
Goofy,Kairi,9
Donald,Wendy,3
Donald,Kairi,9
Peter Pan,Wendy,4
Peter Pan,Kairi,1
Campanilla,Wendy,3
Campanilla,Kairi,1
Wendy,Kairi,1
Sora,Capitan Grafio,1
Sora,Tik Tak,2
Goofy,Capitan Grafio,1
Goofy,Smee,1
Goofy,Tik Tak,1
Donald,Capitan Grafio,1
Donald,Smee,1
Donald,Tik Tak,1
Capitan Grafio,Smee,1
Capitan Grafio,Campanilla,1
Capitan Grafio,Tik Tak,1
Capitan Grafio,Peter Pan,1
Smee,Campanilla,1
Smee,Tik Tak,1
Smee,Peter Pan,1
Campanilla,Tik Tak,1
Tik Tak,Peter Pan,2
Peter Pan,Capitan Garfio,1
